cpu,mb,gpu,ram,psu,storage,total_price,benchmark_cpu,passmark_gpu,cpu_scaled,gpu_scaled,final_score,level
Intel Xeon E3-1270 v5 @ 3.60GHz,MAINBOARD (1151) LONGWELL H110-D4C DDR4 (REV. 2.0),Radeon Pro W5500,RAM DDR4(3200) 16GB BLACKBERRY 8 CHIP x2 (Total: 32.0GB),POWER SUPPLY (80+ GOLD) 1200W ASUS TUF GAMING 1200G,1 TB SSD M.2 PCIe 4.0 KINGSTON NV3 (SNV3S/1000G) NVMe M.2 2280 (1 TB),46823.044,8319,8940,0.053059288053625545,0.19537268164371793,0.13133165452817636,Entry Creator
Intel Core i7-6700 @ 3.40GHz,MAINBOARD (1151) LONGWELL H110-D4C DDR4 (REV. 2.0),Quadro M2000,RAM DDR4(2666) 16GB APACER (EL.16G2V.GNH) x2 (Total: 32.0GB),POWER SUPPLY (80+ GOLD) 850W CORSAIR SERIES RM850E (CP-9020296-NA),1 TB SSD M.2 PCIe 5.0 SAMSUNG 9100 PRO (MZ-VAP1T0BW) NVMe M.2 2280 (1 TB),30892.5176,8038,4034,0.0487588381133115,0.06369272888316288,0.056972478036729765,Entry Creator
Intel Core i9-10940X @ 3.30GHz,MAINBOARD (1200) LONGWELL H510-PRO DDR4,Radeon PRO W6800,RAM DDR4(3200) 32GB (16GBx2) BLACKBERRY 3200 PRO SERIES WHITE x2 (Total: 64.0GB),POWER SUPPLY (80+ PLATINUM) 1500W NZXT BLACK (PA-5P1BB-US),1 TB SSD M.2 PCIe 3.0 SANDISK PLUS G26 (SDSSDA3N-1T00-G26) NVMe M.2 2280 (1 TB),113814.68,27651,20158,0.3489180006733801,0.49647046192661776,0.4300718543626608,Entry Creator
Intel Core i7-6770HQ @ 2.60GHz,MAINBOARD (1151) LONGWELL H110-D4C DDR4 (REV. 2.0),Quadro P520,RAM DDR4(3200) 32GB (16GBX2) KINGSTON FURY BEAST (KF432C16BB1K2/32WP) x2 (Total: 64.0GB),POWER SUPPLY (80+ GOLD) 1000W SEGOTEP GM1000W WHITE,1 TB SSD M.2 PCIe 4.0 SAMSUNG 990 EVO PLUS (MZ-V9S1T0BW) NVMe M.2 2280 (1 TB),98863.28,7019,2017,0.03316396804505524,0.009555251362160129,0.020179173869462927,Entry Creator
Intel Xeon E-2436,MAINBOARD (1700) ASUS PRIME B760M-K DDR5,Radeon Pro WX 4150,RAM DDR5(5200) 32GB (16GBX2) APACER GAMING BLACK (AH5U32G52C5227BAA-2) x2 (Total: 64.0GB),POWER SUPPLY (CYBENETICS PLATINUM) 850W MONTECH CENTURY II,1 TB SSD M.2 PCIe 4.0 SANDISK EXTREME G26 (SDSSDX3N-1T00-G26) NVMe M.2 2280 (1 TB),64357.28,21708,2579,0.25796578004958526,0.024639665029390447,0.12963641678847812,Entry Creator
Intel Xeon E3-1268L v5 @ 2.40GHz,MAINBOARD (1151) LONGWELL H110-D4C DDR4 (REV. 2.0),Radeon Pro,RAM DDR4(3200) 16GB APACER PANTHER GOLDEN (AH4U16G32C28Y7GAA-1) x2 (Total: 32.0GB),POWER SUPPLY (80+ GOLD) 1000W ASUS ROG STRIX AURA GAMING 1000G,1 TB SSD M.2 PCIe 3.0 WD RED NAS SN700 (WDS100T1R0C) NVMe M.2 2280 (1 TB),66067.5248,6334,2559,0.02268066480977013,0.024102853155111785,0.023462868399708042,Entry Creator
Intel Xeon E3-1240 v6 @ 3.70GHz,MAINBOARD (1151) LONGWELL H110-D4C DDR4 (REV. 2.0),Quadro GV100,RAM DDR4(3200) 16GB BLACKBERRY ASGARD x2 (Total: 32.0GB),POWER SUPPLY (80+ GOLD) 850W THERMALTAKE TOUGHPOWER GT SNOW,1 TB SSD M.2 PCIe 5.0 SAMSUNG 9100 PRO (MZ-VAP1T0BW) NVMe M.2 2280 (1 TB),350748.488,8729,18880,0.059333965902482314,0.4621681831602115,0.28089278539423335,Entry Creator
Intel Core i7-9700KF @ 3.60GHz,MAINBOARD (1151V2) GIGABYTE H310M M.2 2.0 DDR4 (REV. 1.3),RTX A1000,RAM DDR4(3200) 16GB HYNIX 16 CHIP x2 (Total: 32.0GB),POWER SUPPLY (80+ BRONZE) 750W CORSAIR CX750 (CP-9020279-NA),1 TB SSD M.2 PCIe 4.0 KLEVV CRAS C910G (K01TBM2SP0-10G) NVMe M.2 2280 (1 TB),38557.922399999996,14247,10781,0.14378194729270605,0.2447862146710685,0.1993342943508054,Entry Creator
Intel Core i7-12800HE,MAINBOARD (1700) COLORFUL H610M-D EVO V21 DDR4,Quadro M5000,RAM DDR4(3200) 16GB APACER NOX RGB BLACK (AH4U16G32C28YNBAA-1) x2 (Total: 32.0GB),POWER SUPPLY (80+ BRONZE) 650W MSI MAG A650BN,1 TB SSD M.2 PCIe 4.0 SAMSUNG 990 PRO (MZ-V9P1T0BW) NVMe M.2 2280 (1 TB),49946.72,26096,9396,0.32512013712466714,0.20761199237727138,0.26049065751359946,Entry Creator
Intel Core i7-6700K @ 4.00GHz,MAINBOARD (1151) LONGWELL H110-D4C DDR4 (REV. 2.0),GeForce RTX 3080,RAM DDR4(2666) 16GB BLACKBERRY x2 (Total: 32.0GB),POWER SUPPLY 650W OKER EB-650,1 TB SSD M.2 PCIe 4.0 WD BLACK SN7100 (WDS100T4X0E) NVMe M.2 2280 (1 TB),32169.5496,8938,25040,0.06253252119616785,0.6275062404380384,0.3732680667791967,Entry Creator
Intel Core i7-14700T,MAINBOARD (1700) MSI PRO B760M-E DDR5,Quadro M6000,RAM DDR5(5200) 32GB KINGSTON FURY BEAST (KF552C40BB-32) x2 (Total: 64.0GB),POWER SUPPLY (80+ BRONZE) 750W AEROCOOL LUX RGB,2 TB SSD M.2 PCIe 4.0 KINGSTON NV3 (SNV3S/2000G) NVMe M.2 2280 (2 TB),220960.08,31285,11734,0.40453307214349116,0.27036530048044666,0.3307407977288167,Entry Creator
AMD Ryzen 7 8700F,MAINBOARD (AM5) ASUS ROG CROSSHAIR X870E APEX,GeForce RTX 4080 SUPER,RAM DDR5(5200) 32GB (16GBX2) ZADAK SPARK RGB (ZD5-SPR52C50-32G2W2) x2 (Total: 64.0GB),POWER SUPPLY (80+ BRONZE) 850W ITSONAS FROZEN,1 TB SSD M.2 PCIe 4.0 KLEVV CRAS C910G (K01TBM2SP0-10G) NVMe M.2 2280 (1 TB),101156.124,31160,34251,0.4026200606042056,0.8747349491370748,0.6622832492972837,Pro Creator
Intel Core i7-7700 @ 3.60GHz,MAINBOARD (1151) LONGWELL H110-D4C DDR4 (REV. 2.0),Radeon Pro WX 4150,RAM DDR4(3200) 32GB (16GBX2) KINGSTON FURY BEAST (KF432C16BB1K2/32WP) x2 (Total: 64.0GB),POWER SUPPLY 650W DTECH PW036,1 TB SSD M.2 PCIe 4.0 KLEVV CRAS C925G (K01TBM2SP0-25G) NVMe M.2 2280 (1 TB),46209.9784,8642,2579,0.05800250987113954,0.024639665029390447,0.03965294520817754,Entry Creator
Intel Core i7-7800X @ 3.50GHz,MAINBOARD (1151) LONGWELL H110-D4C DDR4 (REV. 2.0),Radeon Pro W5700,RAM DDR4(3200) 16GB ADATA D35G XPG BLACK (AX4U320016G16A-SBKD35) x2 (Total: 32.0GB),POWER SUPPLY (80+ BRONZE) 750W SEGOTEP BN750W ID PCIE 5.1 ATX3.1,1 TB SSD M.2 PCIe 4.0 SAMSUNG 990 EVO PLUS (MZ-V9S1T0BW) NVMe M.2 2280 (1 TB),40742.9416,12987,14182,0.12449879097670717,0.3360710738921545,0.2408635465802032,Entry Creator
Intel Xeon E-2478,MAINBOARD (1700) MSI PRO B760M-A WIFI DDR5,RTX A6000,RAM DDR5(5600) 32GB (16GBX2) CORSAIR VENGEANCE WHITE (CMK32GX5M2B5600C40W) x2 (Total: 64.0GB),POWER SUPPLY (80+ GOLD) 850W MSI MAG A850GL PCIE5,1 TB SSD M.2 PCIe 3.0 WD RED NAS SN700 (WDS100T1R0C) NVMe M.2 2280 (1 TB),197722.72,27817,22795,0.3514584799975513,0.5672491075502589,0.47014332515154056,Entry Creator
AMD Ryzen 7 2700X,MAINBOARD (AM4) GIGABYTE A520M S2H DDR4 (REV. 1.3),RTX A400,RAM DDR4(3200) 16GB KINGSTON VALUE RAM (KVR32N22D8/16WP) x2 (Total: 32.0GB),POWER SUPPLY (80+ SILVER) 650W GIGABYTE P-650SS ICE (GP-650SS ICE),1 TB SSD M.2 PCIe 3.0 WD RED NAS SN700 (WDS100T1R0C) NVMe M.2 2280 (1 TB),31536.8,17445,5990,0.192724434513789,0.11619293018761573,0.1506321071343937,Entry Creator
Intel Xeon E3-1270 v6 @ 3.80GHz,MAINBOARD (1151) LONGWELL H110-D4C DDR4 (REV. 2.0),RTX A400,RAM DDR4(2666) 16GB APACER (EL.16G2V.GNH) x2 (Total: 32.0GB),POWER SUPPLY (80+ GOLD) 1000W NZXT BLACK (PA-0G2BB-US),1 TB SSD M.2 PCIe 4.0 KLEVV CRAS C925G (K01TBM2SP0-25G) NVMe M.2 2280 (1 TB),34548.444,8959,5990,0.06285390713476784,0.11619293018761573,0.09219036981383419,Entry Creator
Intel Core i9-10920X @ 3.50GHz,MAINBOARD (1200) LONGWELL H510-PRO DDR4,Radeon Pro,RAM DDR4(3200) 32GB (16GBX2) APACER PANTHER GOLDEN (AH4U32G32C28Y7GAA-2) x2 (Total: 64.0GB),POWER SUPPLY (80+ BRONZE) 650W DTECH PW023A,1 TB SSD M.2 PCIe 4.0 WD SN5000 BLUE (WDS100T4B0E) NVMe M.2 2280 (1 TB),62094.210399999996,25818,2559,0.32086559946129595,0.024102853155111785,0.15764608899289467,Entry Creator
Intel Core i7-9700KF @ 3.60GHz,MAINBOARD (1151V2) LONGWELL H310-H3M DDR4 (REV. 2.0),TITAN RTX,RAM DDR4(3200) 16GB KINGSTON FURY BEAST RGB (KF432C16BB12A/16WP) x2 (Total: 32.0GB),POWER SUPPLY (CYBENETICS PLATINUM) 650W CORSAIR RM650E (CP-9020302-NA),1 TB SSD M.2 PCIe 4.0 KLEVV CRAS C925G (K01TBM2SP0-25G) NVMe M.2 2280 (1 TB),63247.9224,14247,20006,0.14378194729270605,0.4923906916821,0.33551675670687275,Entry Creator
Intel Core i7-9700E @ 2.60GHz,MAINBOARD (1151V2) LONGWELL H310-D4N V3 DDR4,Quadro P5000,RAM DDR4(3200) 16GB ADATA 16 CHIP (AD4U320016G22-SGN) x2 (Total: 32.0GB),POWER SUPPLY (SATA) 580W TSUNAMI EXTREME+PRO,1 TB SSD M.2 PCIe 4.0 HIKSEMI FUTURE LITE NVMe M.2 2280 (1 TB),88821.76,12561,12637,0.11797924765082181,0.2946023566041281,0.21512195757514027,Entry Creator
AMD Ryzen 7 5700X3D,MAINBOARD (AM4) ASROCK B550M HDV DDR4,RTX A2000,RAM DDR4(3200) 16GB ADATA 16 CHIP (AD4U320016G22-SGN) x2 (Total: 32.0GB),POWER SUPPLY (80+ GOLD) 1000W MSI MAG A1000GL PCIE5,1 TB SSD M.2 PCIe 4.0 SAMSUNG 990 PRO (MZ-V9P1T0BW) NVMe M.2 2280 (1 TB),51319.2888,26305,13432,0.32831869241835265,0.3159406286067048,0.32151075732194634,Entry Creator
Intel Xeon E3-1240L v5 @ 2.10GHz,MAINBOARD (1151) LONGWELL H110-D4C DDR4 (REV. 2.0),RTX A2000,RAM DDR4(3200) 32GB (16GBX2) HIKSEMI ARMOR BLACK (HSC432U32D3)Recommend x2 (Total: 64.0GB),POWER SUPPLY (80+ PLATINUM) 1300W DEEPCOOL PX1300P,1 TB SSD M.2 PCIe 5.0 SAMSUNG 9100 PRO (MZ-VAP1T0BW) NVMe M.2 2280 (1 TB),60871.36,6547,13432,0.025940436472712797,0.3159406286067048,0.18544054214640843,Entry Creator
AMD Ryzen 9 3900X,MAINBOARD (AM4) MSI B550M PRO VDH WIFI DDR4,GeForce RTX 4080 SUPER,RAM DDR4(3200) 16GB APACER PANTHER GOLDEN (AH4U16G32C28Y7GAA-1) x2 (Total: 32.0GB),POWER SUPPLY (80+ BRONZE) 750W THERMALTAKE SMART BX1,1 TB SSD M.2 PCIe 5.0 LEXAR NM990 NVMe M.2 2280 (1 TB),62546.68,32504,34251,0.42318876067460437,0.8747349491370748,0.6715391643289632,Pro Creator
Intel Core i7-13790F,MAINBOARD (1700) ASROCK H610M-HDV/M.2+ DDR5,Radeon Pro SSG,RAM DDR5(5200) 32GB (16GBX2) BLACKBERRY 5200 PRO SERIES WHITE x2 (Total: 64.0GB),POWER SUPPLY (80+ GOLD) 850W MSI MAG A850GL PCIE5,1 TB SSD M.2 PCIe 5.0 LEXAR NM990 NVMe M.2 2280 (1 TB),126999.7088,42202,10971,0.5716078479385387,0.24988592747671576,0.39466079168453605,Entry Creator
Intel Xeon E3-1230 v5 @ 3.40GHz,MAINBOARD (1151) LONGWELL H110-D4C DDR4 (REV. 2.0),GeForce RTX 4080,RAM DDR4(3200) 16GB KINGBANK KJXS SILVER x2 (Total: 32.0GB),POWER SUPPLY (80+ GOLD) 1200W ASUS TUF GAMING 1200G,1 TB SSD M.2 PCIe 4.0 KLEVV CRAS C910G (K01TBM2SP0-10G) NVMe M.2 2280 (1 TB),70280.444,7927,34436,0.04706008386642588,0.8797004589741524,0.5050122901756755,Pro Creator
Intel Xeon E3-1240 v6 @ 3.70GHz,MAINBOARD (1151) LONGWELL H110-D4C DDR4 (REV. 2.0),Quadro P1000,RAM DDR4(3200) 16GB BLACKBERRY MAXIMUS x2 (Total: 32.0GB),POWER SUPPLY (80+GOLD) 1000W THERMALTAKE TOUGHPOWER GT (PS-TPT-1000FNFAGE-3),1 TB SSD M.2 PCIe 4.0 SAMSUNG 990 EVO PLUS (MZ-V9S1T0BW) NVMe M.2 2280 (1 TB),41808.488,8729,4498,0.059333965902482314,0.07614676436642778,0.06858100505765233,Entry Creator
Intel Xeon E3-1270 v5 @ 3.60GHz,MAINBOARD (1151) LONGWELL H110-D4C DDR4 (REV. 2.0),Quadro P1000,RAM DDR4(3200) 32GB (16GBX2) HIKSEMI ARMOR BLACK (HSC432U32D3)Recommend x2 (Total: 64.0GB),POWER SUPPLY (80+ BRONZE) 850W THERMALTAKE SMART BX3 (ATX 3.1),1 TB SSD M.2 PCIe 3.0 HIKSEMI CITY E3000 NVMe M.2 2280 (1 TB),42268.044,8319,4498,0.053059288053625545,0.07614676436642778,0.06575740002566677,Entry Creator
AMD Ryzen 7 5700G,MAINBOARD (AM4) ASROCK B550M STEEL LEGEND DDR4,GeForce RTX 5090,RAM DDR4(3200) 16GB (8GBX2) BLACKBERRY MAXIMUS GRAY x2 (Total: 32.0GB),POWER SUPPLY (CYBENETICS PLATINUM) 750W CORSAIR RM750E (CP-9020295-NA),1 TB SSD M.2 PCIe 5.0 SAMSUNG 9100 PRO (MZ-VAP1T0BW) NVMe M.2 2280 (1 TB),155442.88,24317,38918,0.2978941568975544,1.0,0.6840523706038996,Pro Creator
Intel Core i7-8700B @ 3.20GHz,MAINBOARD (1151V2) LONGWELL H310-H3M DDR4 (REV. 2.0),Radeon Pro WX 3200,RAM DDR4(3200) 16GB (8GBX2) ADATA D35G XPG RGB BLACK (AX4U32008G16A-DTBKD35G) x2 (Total: 32.0GB),POWER SUPPLY (80+ BRONZE) 750W DTECH PW071A,2 TB SSD M.2 PCIe 5.0 LEXAR NQ790 NVMe M.2 2280 (2 TB),32989.36,11782,2222,0.10605735973799392,0.015057573073516385,0.05600747707253127,Entry Creator
Intel Core i9-12900F,MAINBOARD (1700) ASROCK B760M-H2/M.2 DDR5,GeForce RTX 3090,RAM DDR5(5200) 32GB (16GBX2) KINGSTON FURY BEAST RGB WHITE (KF552C40BWAK2-32) x2 (Total: 64.0GB),POWER SUPPLY (CYBENETICS PLATINUM) 1000W CORSAIR RM1000E (CP-9020297-NA),1 TB SSD M.2 PCIe 4.0 WD SN5000 BLUE (WDS100T4B0E) NVMe M.2 2280 (1 TB),72824.0888,35816,26557,0.4738759144195157,0.6682234211020747,0.5807670430949232,Pro Creator
AMD Ryzen 9 5900X,MAINBOARD (AM4) GIGABYTE A520M H ARGB DDR4 (rev. 1.0),Radeon PRO W6800,RAM DDR4(3200) 16GB KINGSTON VALUE RAM (KVR32N22D8/16WP) x2 (Total: 32.0GB),POWER SUPPLY (80+ GOLD) 850W SILVERSTONE DA850W (SST-DA850R-GMA),2 TB SSD M.2 PCIe 4.0 WD SN5000 BLUE (WDS200T4B0E) NVMe M.2 2280 (2 TB),93344.88,38939,20158,0.5216705947170274,0.49647046192661776,0.5078105216823021,Pro Creator
AMD Ryzen 9 PRO 7945,MAINBOARD (AM5) GIGABYTE B850M DS3H ICE DDR5 (REV. 1.0),Radeon Pro 555,RAM DDR5(6400) 64GB (32GBX2) KINGSTON FURY BEAST RGB (KF564C32BBEAK2-64) x2 (Total: 128.0GB),POWER SUPPLY (80+ GOLD) 1000W NZXT CORE (PA-0G3BB-US),1 TB SSD M.2 PCIe 4.0 WD BLACK SN7100 (WDS100T4X0E) NVMe M.2 2280 (1 TB),132707.5136,46933,3140,0.6440115086774203,0.03969723810290684,0.3116386598614379,Entry Creator
AMD Ryzen 7 5800X,MAINBOARD (AM4) ASROCK B450M HDV DDR4 R4.0,GeForce RTX 4080 SUPER,RAM DDR4(3200) 16GB BLACKBERRY MAXIMUS x2 (Total: 32.0GB),POWER SUPPLY (80+ BRONZE) 750W ITSONAS DARK FOREST WHITE SFX,1 TB SSD M.2 PCIe 3.0 SANDISK PLUS G26 (SDSSDA3N-1T00-G26) NVMe M.2 2280 (1 TB),61219.08,27703,34251,0.3497138134737229,0.8747349491370748,0.6384754380885665,Pro Creator
AMD Ryzen 7 PRO 5750GE,MAINBOARD (AM4) ASROCK B550M STEEL LEGEND DDR4,Radeon Pro,RAM DDR4(3200) 16GB (8GBX2) KINGSTON FURY BEAST RGB (KF432C16BB2AK2/16WP) x2 (Total: 32.0GB),POWER SUPPLY (80+ PLATINUM) 1300W DEEPCOOL PX1300P,1 TB SSD M.2 PCIe 3.0 SANDISK PLUS G26 (SDSSDA3N-1T00-G26) NVMe M.2 2280 (1 TB),77894.7088,21046,2559,0.2478344709375287,0.024102853155111785,0.12478208115719941,Entry Creator
Intel Core i9-14900KF,MAINBOARD (1700) ASUS TUF GAMING B760M-PLUS WIFI II (DDR5),Quadro RTX 6000,RAM DDR5(5200) 16GB (8GBX2) CORSAIR VENGEANCE BLACK (CMK16GX5M2B5200Z40) x2 (Total: 32.0GB),POWER SUPPLY (80+ GOLD) 850W SILVERSTONE DA850W (SST-DA850R-GMA),2 TB SSD M.2 PCIe 4.0 WD SN5000 BLUE (WDS200T4B0E) NVMe M.2 2280 (2 TB),266901.6088,58328,17826,0.818401640598696,0.4338781973857262,0.6069137468315626,Pro Creator
Intel Core i9-10900TE @ 1.80GHz,MAINBOARD (1200) LONGWELL H510-PRO DDR4,Quadro M2000,RAM DDR4(3200) 32GB (16GBx2) BLACKBERRY 3200 PRO SERIES BLACK x2 (Total: 64.0GB),POWER SUPPLY (80+ BRONZE) 650W ANTEC ATOM B650,1 TB SSD M.2 PCIe 5.0 WD BLACK SN8100 (WDS100T1X0M) NVMe M.2 2280 (1 TB),45027.28,14159,4034,0.14243518716904902,0.06369272888316288,0.09912683511181164,Entry Creator
Intel Core i9-12900T,MAINBOARD (1700) ASROCK B760M-HDV/M.2 DDR5,GeForce RTX 5090,RAM DDR5(5200) 32GB (16GBX2) BLACKBERRY 5200 PRO SERIES WHITE x2 (Total: 64.0GB),POWER SUPPLY (80+ GOLD) 850W MSI MAG A850GL PCIE5,1 TB SSD M.2 PCIe 3.0 WD RED NAS SN700 (WDS100T1R0C) NVMe M.2 2280 (1 TB),173677.68,29143,38918,0.371751706406293,1.0,0.7172882678828318,Pro Creator
Intel Core i9-11900KB @ 3.30GHz,MAINBOARD (1200) LONGWELL H510-PRO DDR4,GeForce RTX 4070 Ti,RAM DDR4(2666) 16GB BLACKBERRY x2 (Total: 32.0GB),POWER SUPPLY (80+ BRONZE) 750W MSI MAG A750BN PCIE5,1 TB SSD M.2 PCIe 4.0 KLEVV CRAS C925G (K01TBM2SP0-25G) NVMe M.2 2280 (1 TB),57973.68,22748,31568,0.2738820360564415,0.8027216362025927,0.5647438161368248,Pro Creator
Intel Xeon E-2468,MAINBOARD (1700) MSI PRO H610M-E DDR5,Quadro P600,RAM DDR5(5200) 16GB (8GBX2) KINGSTON FURY BEAST (KF552C40BBK2-16) x2 (Total: 32.0GB),POWER SUPPLY (80+ GOLD) 850W THERMALTAKE TOUGHPOWER GT,1 TB SSD M.2 PCIe 4.0 KLEVV CRAS C925G (K01TBM2SP0-25G) NVMe M.2 2280 (1 TB),44737.12,26652,3326,0.3336292124514095,0.04468958853369836,0.17471241929666836,Entry Creator
Intel Core i7-12700K,MAINBOARD (1700) ASROCK B760M PRO RS WIFI DDR5,RTX A1000,RAM DDR5(6400) 32GB (16GBX2) ZADAK SPARK RGB (ZD5-SPR64C55-32G2W2) x2 (Total: 64.0GB),POWER SUPPLY (80+ GOLD) 850W CORSAIR SERIES RM850E (CP-9020296-NA),1 TB SSD M.2 PCIe 4.0 KLEVV CRAS C925G (K01TBM2SP0-25G) NVMe M.2 2280 (1 TB),76358.08,34317,10781,0.45093508004040284,0.2447862146710685,0.33755320408726897,Entry Creator
Intel Core i7-9700K @ 3.60GHz,MAINBOARD (1151V2) LONGWELL H310-H3M DDR4 (REV. 2.0),Quadro RTX 8000,RAM DDR4(3200) 16GB ADATA 16 CHIP (AD4U320016G22-SGN) x2 (Total: 32.0GB),POWER SUPPLY (CYBENETICS GOLD) 1000W EINAREX NEXUS MASTER L1 BLACK (EXPS-NL1-1000-BK),1 TB SSD M.2 PCIe 4.0 HIKSEMI FUTURE LITE NVMe M.2 2280 (1 TB),154941.68,14402,19911,0.14615408160142018,0.4898408352792764,0.33518179612424115,Entry Creator
Intel Core i7-6700 @ 3.40GHz,MAINBOARD (1151) LONGWELL H110-D4C DDR4 (REV. 2.0),GeForce RTX 4070 Ti SUPER,RAM DDR4(3200) 32GB (16GBX2) HIKSEMI ARMOR BLACK (HSC432U32D3)Recommend x2 (Total: 64.0GB),POWER SUPPLY (CYBENETICS PLATINUM) 750W CORSAIR RM750E (CP-9020295-NA),1 TB SSD M.2 PCIe 4.0 WD BLACK SN7100 (WDS100T4X0E) NVMe M.2 2280 (1 TB),55657.5176,8038,31797,0.0487588381133115,0.8088681321630834,0.46681894984068606,Entry Creator
Intel Core i9-14900,MAINBOARD (1700) MSI PRO B760M-E DDR5,GeForce RTX 4090,RAM DDR5(5600) 32GB (16GBX2) CORSAIR VENGEANCE RGB BLACK (CMH32GX5M2B5600C40K) x2 (Total: 64.0GB),POWER SUPPLY (80+ GOLD) 1350W THERMALTAKE TOUGHPOWER GF3,1 TB SSD M.2 PCIe 3.0 HIKSEMI CITY E3000 NVMe M.2 2280 (1 TB),131414.8664,45166,38093,0.616969177558079,0.9778565101860053,0.8154572105034386,Ultimate Workstation
Intel Core i7-7700HQ @ 2.80GHz,MAINBOARD (1151) LONGWELL H110-D4C DDR4 (REV. 2.0),GeForce RTX 4070 Ti,RAM DDR4(3200) 16GB APACER PANTHER GOLDEN (AH4U16G32C28Y7GAA-1) x2 (Total: 32.0GB),POWER SUPPLY (CYBENETICS PLATINUM) 650W CORSAIR RM650E (CP-9020302-NA),1 TB SSD M.2 PCIe 5.0 SAMSUNG 9100 PRO (MZ-VAP1T0BW) NVMe M.2 2280 (1 TB),56983.36,6884,31568,0.031097915582626784,0.8027216362025927,0.4554909619236081,Entry Creator
Intel Core i7-11700KF @ 3.60GHz,MAINBOARD (1200) LONGWELL H410-VH DDR4,Radeon RX 7900 XT,RAM DDR4(2666) 16GB APACER (EL.16G2V.GNH) x2 (Total: 32.0GB),POWER SUPPLY (80+ GOLD) 850W SILVERSTONE DA850W (SST-DA850R-GMA),1 TB SSD M.2 PCIe 5.0 WD BLACK SN8100 (WDS100T1X0M) NVMe M.2 2280 (1 TB),59184.88,23824,28996,0.290349239386612,0.7336876291703571,0.5341853537676718,Pro Creator
Intel Core i9-7920X @ 2.90GHz,MAINBOARD (1151) LONGWELL H110-D4C DDR4 (REV. 2.0),Radeon Pro WX 7100,RAM DDR4(3200) 32GB (16GBX2) KINGSTON FURY BEAST (KF432C16BB1K2/32) x2 (Total: 64.0GB),POWER SUPPLY (80+ WHITE) 650W SILVERSTONE STRIDER 650W (SST-ST650-EFA),1 TB SSD M.2 PCIe 4.0 SANDISK EXTREME G26 (SDSSDX3N-1T00-G26) NVMe M.2 2280 (1 TB),72312.2824,23483,7715,0.28513054390744086,0.16249295434415006,0.21767986964763092,Entry Creator
Intel Core i9-11900T @ 1.50GHz,MAINBOARD (1200) LONGWELL H510-PRO DDR4,TITAN RTX,RAM DDR4(2666) 16GB BLACKBERRY MAXIMUS GRAY x2 (Total: 32.0GB),POWER SUPPLY (80+ WHITE) 550W SILVERSTONE (SST-ST550-EF),1 TB SSD M.2 PCIe 3.0 HIKSEMI CITY E3000 NVMe M.2 2280 (1 TB),67316.68,18620,20006,0.21070674298307368,0.4923906916821,0.3656329147675382,Entry Creator
Intel Core i9-7920X @ 2.90GHz,MAINBOARD (1151) LONGWELL H110-D4C DDR4 (REV. 2.0),Radeon RX 7900 XTX,RAM DDR4(3200) 16GB BLACKBERRY MAXIMUS x2 (Total: 32.0GB),POWER SUPPLY (80+ BRONZE) 750W ASUS TUF GAMING 750B,1 TB SSD M.2 PCIe 4.0 KLEVV CRAS C925G (K01TBM2SP0-25G) NVMe M.2 2280 (1 TB),67802.2824,23483,31353,0.28513054390744086,0.7969509085540971,0.5666317444631018,Pro Creator
Intel Core i9-13900F,MAINBOARD (1700) MSI B760M GAMING WIFI DDR5,Quadro M4000,RAM DDR5(5200) 32GB (16GBX2) APACER GAMING BLACK (AH5U32G52C5027BAA-2) x2 (Total: 64.0GB),POWER SUPPLY (FULL) 750W ANTEC ATOM V750,1 TB SSD M.2 PCIe 4.0 HIKSEMI FUTURE NVMe M.2 2280 (1 TB),57760.6464,48517,6672,0.6682531909032475,0.13449821510051801,0.3746879542117463,Entry Creator
Intel Xeon E-2468,MAINBOARD (1700) GIGABYTE B760M D3HP DDR4 (REV. 1.0),RTX PRO 5000 Blackwell,RAM DDR4(2666) 16GB BLACKBERRY MAXIMUS GRAY x2 (Total: 32.0GB),POWER SUPPLY (80+ GOLD) 1000W MSI MAG A1000GL PCIE5,1 TB SSD M.2 PCIe 3.0 WD RED NAS SN700 (WDS100T1R0C) NVMe M.2 2280 (1 TB),202737.12,26652,31628,0.3336292124514095,0.8043320718254287,0.5925157851071201,Pro Creator
Intel Core i7-11850HE @ 2.60GHz,MAINBOARD (1200) LONGWELL H410-VH DDR4,Quadro P520,RAM DDR4(3200) 16GB HIKSEMI FUTURE WHITE RGB (HSC416U32F4) x2 (Total: 32.0GB),POWER SUPPLY (80+ GOLD) 1000W SEGOTEP GM1000W WHITE,1 TB SSD M.2 PCIe 4.0 KLEVV CRAS C910G (K01TBM2SP0-10G) NVMe M.2 2280 (1 TB),84422.8,20111,2017,0.23352514462367235,0.009555251362160129,0.11034170332984064,Entry Creator
Intel Xeon E3-1230 v5 @ 3.40GHz,MAINBOARD (1151) LONGWELL H110-D4C DDR4 (REV. 2.0),Quadro P620,RAM DDR4(3200) 16GB HYNIX 16 CHIP x2 (Total: 32.0GB),POWER SUPPLY (80+ GOLD) 850W NZXT BLACK (PA-8G2BB-US),2 TB SSD M.2 PCIe 4.0 KINGSTON NV3 (SNV3S/2000G) NVMe M.2 2280 (2 TB),49800.444,7927,3703,0.04706008386642588,0.05480849236385108,0.051321708540009746,Entry Creator
