cpu,mb,gpu,ram,psu,total_price,benchmark_cpu,passmark_gpu,cpu_scaled,gpu_scaled,final_score,level
Intel Core i3-10325 @ 3.90GHz,MAINBOARD (1200) LONGWELL H410-VH DDR4,GeForce RTX 3080 Ti,RAM DDR4(3200) 16GB APACER NOX WHITE (AH4U16G32C28YMWAA-1) x2,POWER SUPPLY (FULL) 600W AEROCOOL SUPERB,34805.912,10291,26795,0.14478042373365313,0.6795485184108271,0.4121644710722401,Basic
Intel Core i5-14600K,MAINBOARD (1700) ASROCK B760M PRO RS DDR4,GeForce RTX 2080 Ti,RAM DDR4(3200) 16GB (8GBX2) APACER NOX RGB WHITE (ZC.A01ST.0D7) x2,POWER SUPPLY (80+ BRONZE) 550W ITSONAS DARK FOREST WHITE SFX,43423.6088,38492,21483,0.5473987779110273,0.5391345721762576,0.5432666750436425,Standard
AMD Athlon XP 1700+,MAINBOARD (AM4) MSI B550M PRO VDH WIFI DDR4,Quadro P2000,RAM DDR4(3200) 16GB LEXAR THOR OC DARK GREY (LD4BU016G-R3200GSXG) x2,POWER SUPPLY (80+ GOLD) 850W DTECH PW072A,29984.9,176,6989,0.00037119524870081683,0.15600962173878566,0.07819040849374324,Basic
Intel Core i7-10700K @ 3.80GHz,MAINBOARD (1200) LONGWELL H510-PRO DDR4,Radeon RX 7900 GRE,RAM DDR4(3200) 16GB HIKSEMI (HSC416U32Z1) x2,POWER SUPPLY (80+ GOLD) 850W NZXT BLACK (PA-8G2BB-US),47381.2616,18541,27291,0.2625635314944892,0.6926594591736935,0.47761149533409136,Standard
Intel Core i5-10400F @ 2.90GHz,MAINBOARD (1200) LONGWELL H510-PRO DDR4,Radeon RX 7600 XT,RAM DDR4(3200) 16GB (8GBX2) APACER NOX RGB BLACK (AH4U16G32C28YNBAA-2) x2,POWER SUPPLY (80+ SILVER) 500W ITSONAS DARK FOREST 1U FLEX (DF-FX500) SFX,28690.008,12110,17296,0.17074981440237563,0.4284581427929476,0.29960397859766164,Basic
Intel Core i5-10500 @ 3.10GHz,MAINBOARD (1200) LONGWELL H410-VH DDR4,GeForce RTX 5070,RAM DDR4(3200) 32GB (16GBX2) BLACKBERRY MAXIMUS GRAY x2,POWER SUPPLY 620W TSUNAMI EXTREME+PRO,45029.7656,13001,28788,0.18347039004054594,0.732230181597103,0.4578502858188245,Standard
Intel Core i5-9500E @ 3.00GHz,MAINBOARD (1151V2) GIGABYTE H310M M.2 2.0 DDR4 (REV. 1.3),GeForce RTX 4070 Ti SUPER,RAM DDR4(2666) 16GB (8GBX2) BLACKBERRY MAXIMUS x2,POWER SUPPLY (80+GOLD) 1000W THERMALTAKE TOUGHPOWER GT SNOW (PS-TPT-1000FNFAGE-W),55305.04,9104,31797,0.12783393295642737,0.8117681266686051,0.46980102981251626,Standard
Intel Xeon E3-1230 v5 @ 3.40GHz,MAINBOARD (1151) LONGWELL H110-D4C DDR4 (REV. 2.0),GeForce RTX 4070 Ti,RAM DDR4(3200) 16GB KINGSTON VALUE RAM (KVR32N22D8/16WP) x2,POWER SUPPLY (80+ BRONZE) 650W SEGOTEP BN650W ID PCIE 5.1,54850.444,7927,31568,0.11103020958254811,0.8057148899051043,0.45837254974382624,Standard
AMD Athlon 3000G,MAINBOARD (AM4) ASROCK B450M PRO4 DDR4 R2.0,Radeon RX 460,RAM DDR4(3200) 16GB (8GBX2) KINGSTON FURY BEAST RGB (KF432C16BB2AK2/16) x2,POWER SUPPLY (FULL) 600W AEROCOOL SUPERB,20370.9312,4442,4101,0.06127576951630403,0.07967011181306335,0.0704729406646837,Basic
Intel Xeon E-2436,MAINBOARD (1700) GIGABYTE H610M S2H V2 DDR4 (REV. 1.0),GeForce GTX 1660,RAM DDR4(3200) 16GB KINGSTON VALUE RAM (KVR32N22D8/16WP) x2,POWER SUPPLY 450W DTECH PW029 (B/P),29027.28,21708,11621,0.30777796813431557,0.27844889112103827,0.29311342962767695,Basic
AMD Ryzen 5 1400,MAINBOARD (AM4) MSI B550M PRO VDH WIFI DDR4,Tesla P4,RAM DDR4(3200) 16GB CORSAIR VENGEANCE LPX BLACK (CMK16GX4M1E3200C16) x2,POWER SUPPLY (CYBENETICS PLATINUM) 1050W MONTECH CENTURY II,26741.6088,7736,9158,0.10830335217863057,0.21334355422801407,0.1608234532033223,Basic
Intel Core i3-7350K @ 4.20GHz,MAINBOARD (1151) LONGWELL H110-D4C DDR4 (REV. 2.0),GeForce RTX 5070 Ti,RAM DDR4(3200) 16GB LEXAR (LD4AU016G-B3200GSST) x2,POWER SUPPLY (80+ PLATINUM) 1500W CORSAIR HX1500i (CP-9020261-NA),71849.28,4874,32472,0.06744332134087144,0.8296106367793609,0.4485269790601162,Basic
AMD Ryzen 9 9900X3D,MAINBOARD (AM5) GIGABYTE B850M DS3H DDR5 (REV. 1.0),Tesla M10,RAM DDR5(5600) 96GB (48GBX2) G.SKILL TRIDENT Z5 NEO RGB BLACK (F5-5600J4040D48GX x2,POWER SUPPLY (80+ GOLD) 1000W NZXT BLACK (PA-0G2BB-US),173472.28,56262,2968,0.8010964536577009,0.04972112817530597,0.4254087909165034,Basic
Intel Core i7-7920HQ @ 3.10GHz,MAINBOARD (1151) LONGWELL H110-D4C DDR4 (REV. 2.0),Quadro M2000,RAM DDR4(3200) 16GB APACER NOX RGB BLACK (AH4U16G32C28YNBAA-1) x2,POWER SUPPLY (CYBENETICS GOLD) 750W EINAREX NEXUS MASTER L1 BLACK (EXPS-NL1-750-BK),41306.16,7307,4034,0.1021786305750671,0.0778990774761439,0.09003885402560549,Basic
Intel Core i7-6800K @ 3.40GHz,MAINBOARD (1151) LONGWELL H110-D4C DDR4 (REV. 2.0),GeForce GTX 1650 SUPER,RAM DDR4(3200) 8GB BLACKBERRY MAXIMUS GRAY x1,POWER SUPPLY (80+ SILVER) 650W GIGABYTE P-650SS ICE (GP-650SS ICE),16625.284,10715,10186,0.15083376163554335,0.24051703629298724,0.19567539896426528,Basic
Intel Core i9-14900,MAINBOARD (1700) ASUS TUF GAMING B760M-PLUS WIFI II (DDR5),Radeon Pro,RAM DDR5(5200) 16GB (8GBX2) KINGSTON FURY BEAST (KF552C40BBK2-16) x2,POWER SUPPLY (80+ GOLD) 850W ASUS ROG STRIX AURA GAMIN G850G,78389.8664,45166,2559,0.64268174290446,0.03890988871560361,0.3407958158100318,Basic
Intel Xeon E3-1275 v6 @ 3.80GHz,MAINBOARD (1151) LONGWELL H110-D4C DDR4 (REV. 2.0),Radeon RX 6600,RAM DDR4(3200) 16GB ACER UD100 BLACK (ZC.A01ST.0GC) x2,POWER SUPPLY (CYBENETICS PLATINUM) 1000W CORSAIR RM1000E WHITE (CP-9020294-NA),42607.324,9198,15072,0.12917594654788417,0.36967037614654646,0.24942316134721532,Basic
Intel Core i3-9100T @ 3.10GHz,MAINBOARD (1151V2) LONGWELL H310-H3M DDR4 (REV. 2.0),Radeon RX 470/570,RAM DDR4(3200) 16GB KINGSTON FURY BEAST (KF432C16BB1/16WP) x2,POWER SUPPLY (80+ BRONZE) 650W ASUS PRIME,30556.64,5630,7925,0.07823653703386443,0.18075123575903362,0.12949388639644904,Basic
Intel Core i5-8500 @ 3.00GHz,MAINBOARD (1151V2) LONGWELL H310-H3M DDR4 (REV. 2.0),Radeon RX 7900 XT,RAM DDR4(3200) 16GB HYNIX 16 CHIP x2,POWER SUPPLY (CYBENETICS GOLD) 750W EINAREX NEXUS MASTER L1 BLACK (EXPS-NL1-750-BK),49422.5856,9513,28996,0.1336731197532979,0.7377283180460469,0.4357007188996724,Basic
Intel Xeon E3-1275 v5 @ 3.60GHz,MAINBOARD (1151) LONGWELL H110-D4C DDR4 (REV. 2.0),Radeon Pro WX 8200,RAM DDR4(2666) 16GB APACER (EL.16G2V.GNH) x2,POWER SUPPLY (80+ PLATINUM) 1000W ASUS ROG LOKI 1000P SFX,90198.5248,8305,12592,0.1164268174290446,0.3041156723322143,0.21027124488062945,Basic
AMD Athlon Dual Core 5050e,MAINBOARD (AM4) GIGABYTE B550 EAGLE WIFI6 DDR4 (REV. 1.0),GeForce RTX 2060 SUPER,RAM DDR4(3200) 32GB (16GBX2) HIKSEMI ARMOR BLACK (HSC432U32D3)Recommend x2,POWER SUPPLY (80+ BRONZE) 750W THERMALTAKE SMART BX1,29367.2,846,16489,0.009936611272914168,0.4071264307049774,0.20853152098894578,Basic
AMD Ryzen 7 PRO 5750GE,MAINBOARD (AM4) ASROCK B550M PHANTOM GAMING4,Radeon RX 6750 XT,RAM DDR4(3200) 32GB (16GBX2) BLACKBERRY ASGARD (B16G32DASX2) x2,POWER SUPPLY (80+ WHITE) 550W SILVERSTONE (SST-ST550-EF),52629.7088,21046,20707,0.2983267660327794,0.5186222938859666,0.408474529959373,Basic
Intel Core i3-9320 @ 3.70GHz,MAINBOARD (1151V2) GIGABYTE H310M M.2 2.0 DDR4 (REV. 1.3),GeForce GTX 1660 Ti,RAM DDR4(3200) 16GB BLACKBERRY 16 CHIP (BBR16G32D16C) x2,POWER SUPPLY 600W TSUNAMI EX600 DEEP SPACE,24956.6504,7358,12681,0.10290674433213409,0.3064682403320029,0.20468749233206848,Basic
AMD Ryzen 5 5600X,MAINBOARD (AM4) ASUS PRIME A520M-K/CSM (DDR4),GeForce RTX 5060 Ti 8GB,RAM DDR4(3200) 32GB (16GBX2) APACER PANTHER GOLDEN (AH4U32G32C28Y7GAA-2) x2,POWER SUPPLY (80+ GOLD) 1000W NZXT BLACK (PA-0G2BB-US),41728.8888,21844,22493,0.3097196048198275,0.5658322539716106,0.4377759293957191,Basic
Intel Core i3-9100T @ 3.10GHz,MAINBOARD (1151V2) LONGWELL H310-D4N V3 DDR4,GeForce GTX 1630,RAM DDR4(3200) 16GB BLACKBERRY PRO SERIES WHITE x2,POWER SUPPLY 450W DTECH PW053 SFX,20156.64,5630,4983,0.07823653703386443,0.10298432502445086,0.09061043102915764,Basic
Intel Core i5-10500E @ 3.10GHz,MAINBOARD (1200) LONGWELL H510-PRO DDR4,Radeon RX 7800 XT,RAM DDR4(3200) 16GB APACER PANTHER GOLDEN (AH4U16G32C28Y7GAA-1) x2,POWER SUPPLY (80+ WHITE) 700W COOLER MASTER ELITE NEX MWE 230V (MPW-7001-ACBW),38268.4,11368,24324,0.16015647307406772,0.614231714731305,0.38719409390268633,Basic
Intel Core i5-6600T @ 2.70GHz,MAINBOARD (1151) LONGWELL H110-D4C DDR4 (REV. 2.0),GeForce GTX 1630,RAM DDR4(3200) 32GB (16GBX2) KINGSTON FURY BEAST (KF432C16BB1K2/32WP) x2,POWER SUPPLY (FULL) 600W AEROCOOL SUPERB,35720.044,5572,4983,0.07740848609445491,0.10298432502445086,0.09019640555945288,Basic
Intel Core i3-10105F @ 3.70GHz,MAINBOARD (1200) LONGWELL H510-PRO DDR4,Intel Arc B580,RAM DDR4(3200) 16GB (8GBX2) KINGSTON FURY BEAST RGB (KF432C16BB2AK2/16) x2,POWER SUPPLY (80+ PLATINUM) 1000W GIGABYTE AORUS P1000W (GP-AE1000PM PG5),36132.1256,8894,15825,0.12483581748615155,0.3895746874256562,0.25720525245590387,Basic
Intel Core i7-7700T @ 2.90GHz,MAINBOARD (1151) LONGWELL H110-D4C DDR4 (REV. 2.0),Quadro P4000,RAM DDR4(2666) 16GB (8GBX2) BLACKBERRY MAXIMUS x2,POWER SUPPLY (80+ BRONZE) 700W ITSONAS AURORA ARGB,32115.68,7523,11445,0.1052624064873508,0.2737966218180857,0.18952951415271824,Basic
Intel Core i3-9300T @ 3.20GHz,MAINBOARD (1151V2) GIGABYTE H310M M.2 2.0 DDR4 (REV. 1.3),GeForce GTX 1060,RAM DDR4(3200) 8GB KINGSTON VALUE (KVR32N22S8/8) x1,POWER SUPPLY (80+GOLD) 1000W THERMALTAKE TOUGHPOWER GT (PS-TPT-1000FNFAGE-3),21025.16,6323,10056,0.08813031808577465,0.23708070101239728,0.16260550954908598,Basic
Intel Core i5-8600T @ 2.30GHz,MAINBOARD (1151V2) LONGWELL H310-D4N V3 DDR4,RTX A5500,RAM DDR4(3200) 32GB (16GBX2) BLACKBERRY MAXIMUS GRAY x2,POWER SUPPLY (80+ BRONZE) 650W MSI MAG A650BN,101578.6888,9184,21216,0.12897607218319912,0.5320768681768919,0.33052647018004555,Basic
Intel Core i3-12100F,MAINBOARD (1700) GIGABYTE H610M K DDR4 (REV. 2.0),RTX A2000,RAM DDR4(3200) 32GB (16GBx2) BLACKBERRY 3200 PRO SERIES BLACK x2,POWER SUPPLY (80+ PLATINUM) 850W GIGABYTE AORUS P850W (GP-AE850 PM PG5),44285.177599999995,13974,13432,0.19736165838615727,0.3263196849144881,0.26184067165032265,Basic
Intel Core i5-12490F,MAINBOARD (1700) ASROCK B760M-HDV/M.2 DDR5,Quadro RTX 4000,RAM DDR5(4800) 16GB ADATA (AD5U480016G-B) x2,POWER SUPPLY (80+ BRONZE) 750W GIGABYTE P750BS,56549.804000000004,20376,14892,0.28876135000856606,0.36491237345034494,0.3268368617294555,Basic
AMD Ryzen 7 PRO 4750G,MAINBOARD (AM4) GIGABYTE A520M-K V2 DDR4 (REV. 1.1),Radeon Pro WX 4150,RAM DDR4(3200) 16GB (8GBX2) ADATA D35 XPG BLACK (AX4U32008G16A-DTBKD35) x2,POWER SUPPLY (80+ GOLD) 750W ANTEC GSK V2,47028.548,20197,2579,0.28620581348866425,0.03943855568184822,0.16282218458525624,Basic
Intel Core i7-6950X @ 3.00GHz,MAINBOARD (1151) LONGWELL H110-D4C DDR4 (REV. 2.0),RTX A4500,RAM DDR4(3200) 16GB (8GBX2) BLACKBERRY MAXIMUS x2,POWER SUPPLY (80+ WHITE) 600W MONTECH AP600,59244.8816,17586,21101,0.24892924447490147,0.5290370331209855,0.3889831387979435,Basic
Intel Core i7-13700K,MAINBOARD (1700) GIGABYTE B760M D3HP DDR4 (REV. 1.0),Intel Arc A310,RAM DDR4(3200) 32GB (16GBx2) BLACKBERRY 3200 PRO SERIES BLACK x2,POWER SUPPLY 550W OKER EB-550W,40124.880000000005,45744,5451,0.6509336988178859,0.11535513203457483,0.38314441542623034,Basic
Intel Core i5-13400F,MAINBOARD (1700) MSI PRO H610M-S DDR4,Radeon R9 380,RAM DDR4(3200) 16GB (8GBX2) APACER NOX RGB WHITE (ZC.A01ST.0D7) x2,POWER SUPPLY (80+ WHITE) 750W MONTECH AP750,25592.4088,25005,5977,0.35484838101764604,0.1292590732468082,0.24205372713222711,Basic
AMD Athlon 3200+,MAINBOARD (AM4) ASROCK B450M PRO4 DDR4 R2.0,Quadro P6000,RAM DDR4(3200) 16GB ADATA D35G XPG WHITE (AX4U320016G16A-SWHD35) x2,POWER SUPPLY (FULL) 450W DTECH PW006,132682.1,298,15555,0.0021129575695277257,0.3824376833813539,0.19227532047544083,Basic
Intel Core i7-7820X @ 3.60GHz,MAINBOARD (1151) LONGWELL H110-D4C DDR4 (REV. 2.0),GeForce GTX 1080 Ti,RAM DDR4(3200) 32GB ADATA 16 CHIP (AD4U320032G22-SGN) x2,POWER SUPPLY (80+ WHITE) 550W THERMALTAKE TR2 S (PS-TRS-0550NNSAWE-H),32434.5608,17195,18590,0.24334703900405458,0.4626628955089741,0.3530049672565143,Basic
Intel Core i5-12500HL,MAINBOARD (1700) ASUS H610M-K DDR5,Radeon RX 7900 XTX,RAM DDR5(5600) 96GB (48GBX2) G.SKILL TRIDENT Z5 RGB BLACK (F5-5600J4040D48GX2-TZ x2,POWER SUPPLY (FULL) 750W ANTEC ATOM V750,205567.47999999998,23366,31353,0.33144880360915996,0.8000317200179747,0.5657402618135674,Standard
Intel Core i5-11400 @ 2.60GHz,MAINBOARD (1200) LONGWELL H510-PRO DDR4,RTX A6000,RAM DDR4(3200) 16GB HIKSEMI ARMOR WHITE (HSC416U32E2) x2,POWER SUPPLY 550W DTECH PW032,162719.2064,16661,22795,0.23572325966535318,0.5738151251619042,0.40476919241362874,Basic
Intel Core i9-10980XE @ 3.00GHz,MAINBOARD (1200) LONGWELL H410-VH DDR4,Quadro M4000,RAM DDR4(3200) 16GB (8GBX2) BLACKBERRY MAXIMUS x2,POWER SUPPLY (80+BRONZE) 750W ASUS PRIME (90YE00Y0-B0DA00),54279.6888,32023,6672,0.45504254468619726,0.14763025032380853,0.3013363975050029,Basic
Intel Core i5-7600T @ 2.80GHz,MAINBOARD (1151) LONGWELL H110-D4C DDR4 (REV. 2.0),Radeon RX 7900 GRE,RAM DDR4(2666) 16GB HIKSEMI (HSC416U26Z1) x2,POWER SUPPLY (80+ GOLD) 850W ANTEC GSK V2 WHITE,39782.9592,5815,27291,0.08087773399577408,0.6926594591736935,0.38676859658473384,Basic
Intel Core i5-8500T @ 2.10GHz,MAINBOARD (1151V2) GIGABYTE H310M M.2 2.0 DDR4 (REV. 1.3),Radeon Pro WX 8200,RAM DDR4(3200) 16GB BLACKBERRY MAXIMUS x2,POWER SUPPLY (CYBENETICS PLATINUM) 650W CORSAIR RM650E (CP-9020302-NA),75716.88,7727,12592,0.10817486151561875,0.3041156723322143,0.20614526692391655,Basic
Intel Core i3-10325 @ 3.90GHz,MAINBOARD (1200) LONGWELL H510-PRO DDR4,GeForce GTX 1070,RAM DDR4(3200) 16GB BLACKBERRY 8 CHIP x2,POWER SUPPLY (80+ BRONZE) 650W ASUS TUF GAMING,22565.912,10291,13507,0.14478042373365313,0.3283021860379054,0.23654130488577926,Basic
AMD Athlon XP 2600+,MAINBOARD (AM4) GIGABYTE B450M DS3H V3 DDR4 (REV. 1.5),Radeon Pro 555,RAM DDR4(3600) 16GB (8GBX2) KINGSTON FURY BEAST (KF436C17BBK2/16) x2,POWER SUPPLY (80+GOLD) 1000W THERMALTAKE TOUGHPOWER GT SNOW (PS-TPT-1000FNFAGE-W),54956.6936,242,3140,0.0013134601107875048,0.054267664085009645,0.027790562097898576,Basic
Intel Core i3-9320 @ 3.70GHz,MAINBOARD (1151V2) GIGABYTE H310M M.2 2.0 DDR4 (REV. 1.3),Radeon RX 9070,RAM DDR4(3200) 16GB HYNIX 8 CHIP x2,POWER SUPPLY (FULL) 650W ANTEC ATOM V650,43021.6504,7358,25403,0.10290674433213409,0.6427532975602019,0.372830020946168,Basic
Intel Core i5-6600T @ 2.70GHz,MAINBOARD (1151) LONGWELL H110-D4C DDR4 (REV. 2.0),GeForce GTX 1630,RAM DDR4(3200) 32GB (16GBX2) BLACKBERRY MAXIMUS x2,POWER SUPPLY (80+ GOLD) 750W COOLER MASTER MWE V3 NM FR (MPE-7506-ACAG-BTH),31535.044,5572,4983,0.07740848609445491,0.10298432502445086,0.09019640555945288,Basic
Intel Core i9-13900E,MAINBOARD (1700) MSI B760 GAMING PLUS WIFI DDR5,GeForce RTX 4060 Ti,RAM DDR5(5600) 96GB (48GBX2) G.SKILL TRIDENT Z5 RGB BLACK (F5-5600J4040D48GX2-TZ x2,POWER SUPPLY (80+ BRONZE) 650W ANTEC ATOM B650,188430.47999999998,40303,22632,0.5732539546570727,0.5695064893870107,0.5713802220220416,Standard
Intel Core i5-9300HF @ 2.40GHz,MAINBOARD (1151V2) GIGABYTE H310M M.2 2.0 DDR4 (REV. 1.3),Radeon RX 7900 XT,RAM DDR4(3200) 16GB (8GBX2) KINGBANK KJXS (KBK-KJXS16G32) x2,POWER SUPPLY (80+ GOLD) 850W DTECH PW072A,55475.0,7246,28996,0.10130774941465365,0.7377283180460469,0.41951803373035024,Basic
Intel Core i5-11500 @ 2.70GHz,MAINBOARD (1200) LONGWELL H510-PRO DDR4,Quadro P2200,RAM DDR4(3200) 32GB (16GBX2) APACER PANTHER GOLDEN (AH4U32G32C28Y7GAA-2) x2,POWER SUPPLY (80+ GOLD) 850W THERMALTAKE TOUGHPOWER GT SNOW,41722.880000000005,17069,9411,0.24154816972188908,0.22003119135100846,0.23078968053644877,Basic
Intel Core i9-13900KF,MAINBOARD (1700) GIGABYTE B760M GAMING X GEN5 DDR5 (rev. 1.0),Radeon RX 460,RAM DDR5(5200) 64GB (32GBX2) KINGSTON FURY BEAST (KF552C40BBK2-64) x2,POWER SUPPLY (80+ GOLD) 850W GIGABYTE UD850GM PG5 ICE,74339.1488,57675,4101,0.8212694877505567,0.07967011181306335,0.45046979978181007,Standard
AMD Ryzen 7 1700X,MAINBOARD (AM4) ASUS PRIME A520M-K/CSM (DDR4),Radeon RX 5600 XT,RAM DDR4(3200) 16GB (8GBX2) APACER NOX RGB BLACK (AH4U16G32C28YNBAA-2) x2,POWER SUPPLY (80+ BRONZE) 550W ITSONAS DARK FOREST SFX,21744.088799999998,15623,13418,0.2209040031979898,0.3259496180381169,0.27342681061805335,Basic
Intel Core i5-13600,MAINBOARD (1700) ASROCK B760M PRO RS DDR4,Intel Arc A380,RAM DDR4(2666) 16GB (8GBX2) BLACKBERRY MAXIMUS x2,POWER SUPPLY (80+ GOLD) 850W NZXT BLACK (PA-8G2BB-US),29420.6,31472,6280,0.4471760607618069,0.1372683777854141,0.2922222192736105,Basic
AMD Athlon XP-M,MAINBOARD (AM4) GIGABYTE A520M S2H DDR4 (REV. 1.3),Tesla T4,RAM DDR4(3200) 16GB APACER NOX BLACK (AH4U16G32C28YMBAA-1) x2,POWER SUPPLY (CYBENETICS PLATINUM) 1000W CORSAIR RM1000E (CP-9020297-NA),45627.644,352,9903,0.0028839015475986525,0.23303639872062595,0.1179601501341123,Basic
Intel Core i9-11900K @ 3.50GHz,MAINBOARD (1200) LONGWELL H510-PRO DDR4,T1000,RAM DDR4(3200) 32GB (16GBX2) KINGSTON FURY BEAST (KF432C16BB1K2/32) x2,POWER SUPPLY (80+ GOLD) 1000W NZXT BLACK (PA-0G2BB-US),55385.492,24952,7650,0.3540917137799098,0.17348206497317017,0.26378688937654,Basic
Intel Core i7-12800HE,MAINBOARD (1700) GIGABYTE B760M GAMING X GEN5 DDR5 (rev. 1.0),Radeon Pro WX 4150,RAM DDR5(4800) 16GB APACER (FL.16G2A.PTH) x2,POWER SUPPLY (80+ GOLD) 1250W SEGOTEP GM1250W,61226.72,26096,2579,0.3704243047227457,0.03943855568184822,0.20493143020229695,Basic
Intel Core i7-6700 @ 3.40GHz,MAINBOARD (1151) LONGWELL H110-D4C DDR4 (REV. 2.0),GeForce RTX 4070,RAM DDR4(3200) 16GB HYNIX 16 CHIP x2,POWER SUPPLY (80+ BRONZE) 850W THERMALTAKE SMART BX3 (ATX 3.1),35792.5176,8038,26914,0.1126149277596939,0.6826940868599826,0.3976545073098382,Basic
AMD Ryzen 7 3800XT,MAINBOARD (AM4) ASROCK B550M HDV DDR4,TITAN RTX,RAM DDR4(2666) 16GB HYNIX 16 CHIP x2,POWER SUPPLY (80+ GOLD) 750W SEGOTEP GM750W WHITE,61272.6,23438,20006,0.3324767289132545,0.5000925167190928,0.4162846228161737,Basic
Intel Core i9-10900X @ 3.70GHz,MAINBOARD (1200) LONGWELL H410-VH DDR4,Tesla P40,RAM DDR4(3200) 16GB HYNIX 16 CHIP x2,POWER SUPPLY (80+ GOLD) 850W SEGOTEP GM850W WHITE,46551.7424,22368,11595,0.31720061675518246,0.2777616240649203,0.29748112041005137,Basic
AMD Ryzen 9 5900XT,MAINBOARD (AM4) ASROCK B550M PHANTOM GAMING4,GeForce RTX 5070,RAM DDR4(3200) 16GB (8GBX2) ADATA D35 XPG BLACK (AX4U32008G16A-DTBKD35) x2,POWER SUPPLY (80+ WHITE) 650W SILVERSTONE STRIDER 650W (SST-ST650-EFA),46373.32,43983,28788,0.6257923590885729,0.732230181597103,0.6790112703428379,Standard
AMD Ryzen 5 5500GT,MAINBOARD (AM4) MSI B550M PRO VDH WIFI DDR4,Radeon RX 7900 XTX,RAM DDR4(2666) 16GB BLACKBERRY MAXIMUS x2,POWER SUPPLY (80+ GOLD) 850W SEGOTEP GM850W WHITE,60074.3688,18974,31353,0.26874536005939126,0.8000317200179747,0.534388540038683,Standard
Intel Core i5-13500TE,MAINBOARD (1700) GIGABYTE B760M D3HP DDR5 (REV. 1.0),T600,RAM DDR5(5200) 16GB BLACKBERRY MAXIMUS GRAY x2,POWER SUPPLY (SATA) 580W TSUNAMI EXTREME+PRO,34943.2,20483,6369,0.29028896122437325,0.13962094578520262,0.21495495350478794,Basic
Intel Core i5-6600K @ 3.50GHz,MAINBOARD (1151) LONGWELL H110-D4C DDR4 (REV. 2.0),RTX PRO 5000 Blackwell,RAM DDR4(3200) 16GB ACER UD100 BLACK (ZC.A01ST.0GC) x2,POWER SUPPLY (80+ GOLD) 1000W NZXT BLACK (PA-0G2BB-US),189976.924,6299,31628,0.08778767631774312,0.8073008908038382,0.4475442835607906,Basic
AMD Athlon 7550 Dual-Core,MAINBOARD (AM4) GIGABYTE A520M-K V2 DDR4 (REV. 1.1),GeForce GTX 1050 Ti,RAM DDR4(2400) 8GB BLACKBERRY 8 CHIP x1,POWER SUPPLY (80+ BRONZE) 750W DTECH PW071A,8820.244,977,6357,0.011806864256752897,0.13930374560545586,0.07555530493110438,Basic
Intel Core i7-11700K @ 3.60GHz,MAINBOARD (1200) LONGWELL H510-PRO DDR4,Quadro P620,RAM DDR4(3200) 16GB HIKSEMI ARMOR PURPLE (HSC416U32Z2) x2,POWER SUPPLY (80+ GOLD) 650W GIGABYTE PG5 (PCIE 5.1),45108.96,24344,3703,0.34541145565644454,0.06914963918479554,0.20728054742062005,Basic
Intel Core i5-12500,MAINBOARD (1700) ASROCK B760M STEEL LEGEND WIFI DDR5,Radeon RX Vega 64,RAM DDR5(5600) 96GB (48GBX2) G.SKILL TRIDENT Z5 RGB BLACK (F5-5600J4040D48GX2-TZ x2,POWER SUPPLY (80+ GOLD) 1200W ASUS TUF GAMING 1200G,186696.24,19732,13910,0.2795671292330535,0.3389548254077344,0.3092609773203939,Basic
Intel Core i7-7700 @ 3.60GHz,MAINBOARD (1151) LONGWELL H110-D4C DDR4 (REV. 2.0),Radeon Pro 455,RAM DDR4(3200) 32GB (16GBX2) HIKSEMI ARMOR BLACK (HSC432U32D3)Recommend x2,POWER SUPPLY (80+ GOLD) 650W GIGABYTE PG5 (PCIE 5.1),40594.9784,8642,3112,0.12123807892182056,0.05352753033226719,0.08738280462704387,Basic
Intel Core i3-13100TE,MAINBOARD (1700) ASROCK B760M-ITX WIFI DDR4,Radeon RX 6800 XT,RAM DDR4(3200) 16GB BLACKBERRY MAXIMUS x2,POWER SUPPLY (FULL) 600W VIKINGS VOYAGE VK600W,36323.44,11248,25018,0.15844326423391009,0.6325764584599931,0.3955098613469516,Basic
AMD Ryzen 7 5700X,MAINBOARD (AM4) GIGABYTE A520M-K V2 DDR4 (REV. 1.1),GeForce GTX 1650,RAM DDR4(3200) 16GB HIKSEMI ARMOR PURPLE (HSC416U32Z2) x2,POWER SUPPLY (CYBENETICS PLATINUM) 650W CORSAIR RM650E (CP-9020302-NA),25885.6888,26604,7873,0.37767688881274625,0.17937670164679761,0.2785267952297719,Basic
Intel Core i7-13700F,MAINBOARD (1700) GIGABYTE B760M D3HP WIFI6 DDR5 (rev. 1.0),Radeon Pro WX 3200,RAM DDR5(5200) 16GB (8GBX2) KINGSTON FURY BEAST (KF552C40BBK2-16) x2,POWER SUPPLY (80+ GOLD) 1200W ASUS TUF GAMING 1200G,50317.1696,38017,2222,0.5406173262520702,0.030001850334381856,0.285309588293226,Basic
AMD Ryzen 5 4600G,MAINBOARD (AM4) ASROCK B450M STEEL LEGEND DDR4,GeForce RTX 4060 Ti 16GB,RAM DDR4(3200) 16GB (8GBX2) CORSAIR VENGEANCE LPX BLACK (CMK16GX4M2E3200C16) x2,POWER SUPPLY (80+ GOLD) 850W SILVERSTONE DA850W (SST-DA850R-GMA),38019.272,15983,22660,0.22604362971846267,0.5702466231397532,0.39814512642910793,Basic
